age,agechild,citistat,female,married,ownchild,wbhaom,gradeatn,cow1,ftptstat,statefips,hoursut,faminc,mind16,mocc10
64,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,9,Asian,Doctorate,Government - State,"FT hours, usually PT for non-economic",OR,125,"$12,500 - $14,999",Entertainment and recreation,"Operators, fabricators and laborers"
45,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Female,Married,0,Asian,Less than 1st grade,Without pay,Not in labor force,TN,24,"$5,000 - $7,499",Entertainment and recreation,"Operators, fabricators and laborers"
63,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,10,Black,"HS graduate, GED",Government - Federal,"PT hrs, usually PT for non-economic reasons",ID,61,"$150,000+","Manufacturing, nondurable goods",Personal care and personal services
27,All own children 0-2 years of age,"Native, born in US",Male,Not married,0,Multiple races,Master's degree,"Private, nonprofit","PT for economic reasons, usually FT",DC,108,"$100,000 - $149,999",Hospital,Technicians
61,All own children 0-2 years of age,"Native, born abroad with American parent(s)",Male,Not married,0,Multiple races,Less than 1st grade,"Self-employed, unincorporated","PT hrs, usually PT for economic reasons",WA,24,"$40,000 - $49,999",Educational,Technicians
20,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in Puerto Rico or other US island areas",Female,Married,13,White,Less than 1st grade,Government - State,"PT hrs, usually PT for non-economic reasons",OH,50,"$12,500 - $14,999",Construction,Sales
43,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Not married,11,Hispanic,10th grade,"Private, for profit","PT for non-economic reasons, usually FT",OH,93,"$75,000 - $99,999",Retail trade,"Precision production, craft and repair"
33,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Male,Not married,3,Hispanic,Associate degree-occupational/vocational,"Self-employed, unincorporated","Not at work, usually part-time",MO,77,"$35,000 - $39,999",Hospital,"Operators, fabricators and laborers"
38,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Female,Not married,0,Native American,Doctorate,"Self-employed, incorporated","PT hrs, usually PT for non-economic reasons",ID,92,"$20,000 - $24,999",Communications and utilities,Personal care and personal services
70,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, not a US citizen",Female,Married,7,Native American,Master's degree,Without pay,Unemployed PT,FL,188,"$35,000 - $39,999",Transportation,Protective service
66,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, not a US citizen",Male,Not married,11,Hispanic,11th grade,Government - Federal,"PT hrs, usually PT for economic reasons",AR,100,"$10,000 - $12,499",Wholesale trade,Agriculture
80,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in Puerto Rico or other US island areas",Female,Not married,7,Native American,Bachelor's degree,Without pay,"Not at work, usually FT",NC,169,"$30,000 - $34,999",Educational,Services
24,No own children under 18 years of age,"Native, born abroad with American parent(s)",Male,Not married,6,Native American,Associate degree-occupational/vocational,Government - Local,"Not at work, usually part-time",CT,98,"$20,000 - $24,999",Retail trade,"Operators, fabricators and laborers"
24,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Female,Not married,13,Multiple races,12th grade-no diploma,"Private, nonprofit","FT hours, usually PT for economic reasons",CA,71,"$12,500 - $14,999",Entertainment and recreation,Agriculture
55,All own children 6-13 years of age,"Native, born in US",Female,Not married,11,White,Doctorate,"Private, for profit","PT hrs, usually PT for economic reasons",KY,87,"$5,000 - $7,499","Agriculture, mining, forestry and fisheries",Services
55,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Male,Married,4,Native American,Doctorate,"Private, for profit",Unemployed FT,SD,176,"$7,500 - $9,999",Educational,Personal care and personal services
69,All own children 0-2 years of age,"Native, born in US",Male,Married,6,White,Master's degree,"Self-employed, unincorporated","FT hours, usually PT for economic reasons",CA,179,"$40,000 - $49,999",Educational,Managers and professionals
73,All own children 6-13 years of age,"Native, born abroad with American parent(s)",Female,Married,12,Native American,12th grade-no diploma,"Private, nonprofit","PT hrs, usually PT for non-economic reasons",ID,173,"$10,000 - $12,499",Transportation,Office and admin
27,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Male,Not married,11,Black,"HS graduate, GED","Private, for profit",Unemployed PT,MS,66,"Less than $5,000","Manufacturing, durable goods","Operators, fabricators and laborers"
57,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Male,Married,7,Multiple races,Less than 1st grade,Without pay,"FT hours, usually PT for economic reasons",SC,166,"$50,000 - $74,999",Entertainment and recreation,Technicians
69,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Married,3,Native American,5th-6th grade,"Self-employed, incorporated","FT hours, usually PT for non-economic",WI,117,"$50,000 - $74,999","Medical, except hospital",Protective service
17,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, naturalized US citizen",Male,Married,9,White,Associate degree-academic program,Without pay,"PT for economic reasons, usually FT",WV,71,"$40,000 - $49,999",Educational,Technicians
